,id,display_name,works_api_url,h_index,works_count,country_code
392,https://openalex.org/A5054505815,Ezequiel M. Vázquez‐López,https://api.openalex.org/works?filter=author.id:A5054505815,27,229,ES
393,https://openalex.org/A5008439962,Stefan M. Herzog,https://api.openalex.org/works?filter=author.id:A5008439962,18,109,DE
394,https://openalex.org/A5052132950,Jianying Zhou,https://api.openalex.org/works?filter=author.id:A5052132950,45,398,CN
395,https://openalex.org/A5081008532,Daniele Quercia,https://api.openalex.org/works?filter=author.id:A5081008532,36,244,GB
396,https://openalex.org/A5065893083,Wanqi Hu,https://api.openalex.org/works?filter=author.id:A5065893083,5,11,CN
397,https://openalex.org/A5088335237,Xinran Wang,https://api.openalex.org/works?filter=author.id:A5088335237,81,883,CN
398,https://openalex.org/A5055757510,Yunhao Yuan,https://api.openalex.org/works?filter=author.id:A5055757510,26,357,CN
399,https://openalex.org/A5057029055,Koustuv Saha,https://api.openalex.org/works?filter=author.id:A5057029055,19,89,GB
400,https://openalex.org/A5002913960,Barbara Keller,https://api.openalex.org/works?filter=author.id:A5002913960,26,69,CH
401,https://openalex.org/A5032953678,Erkki Isometsä,https://api.openalex.org/works?filter=author.id:A5032953678,70,457,FI
402,https://openalex.org/A5003213649,Talayeh Aledavood,https://api.openalex.org/works?filter=author.id:A5003213649,11,36,FI
403,https://openalex.org/A5025112887,Artem Kuriksha,https://api.openalex.org/works?filter=author.id:A5025112887,0,5,US
404,https://openalex.org/A5061941192,Priyanka Goonetilleke,https://api.openalex.org/works?filter=author.id:A5061941192,1,5,US
405,https://openalex.org/A5072436705,Anastasia Karpova,https://api.openalex.org/works?filter=author.id:A5072436705,1,8,
406,https://openalex.org/A5046955571,Peter Meylakhs,https://api.openalex.org/works?filter=author.id:A5046955571,10,27,RU
407,https://openalex.org/A5024873815,Sebastian Mildiner Moraga,https://api.openalex.org/works?filter=author.id:A5024873815,1,6,NL
408,https://openalex.org/A5059607114,Fionneke M. Bos,https://api.openalex.org/works?filter=author.id:A5059607114,10,21,NL
409,https://openalex.org/A5005840933,Bennard Doornbos,https://api.openalex.org/works?filter=author.id:A5005840933,16,52,NL
410,https://openalex.org/A5014971104,Richard Bruggeman,https://api.openalex.org/works?filter=author.id:A5014971104,47,401,NL
411,https://openalex.org/A5028792261,Lian van der Krieke,https://api.openalex.org/works?filter=author.id:A5028792261,17,51,NL
412,https://openalex.org/A5048153913,Evelien Snippe,https://api.openalex.org/works?filter=author.id:A5048153913,21,75,NL
413,https://openalex.org/A5031538551,Emmeke Aarts,https://api.openalex.org/works?filter=author.id:A5031538551,11,42,NL
414,https://openalex.org/A5084918963,Елизавета Сивак,https://api.openalex.org/works?filter=author.id:A5084918963,7,50,NL
415,https://openalex.org/A5040564747,Malvina Nissim,https://api.openalex.org/works?filter=author.id:A5040564747,23,204,NL
416,https://openalex.org/A5086908160,Gert Stulp,https://api.openalex.org/works?filter=author.id:A5086908160,24,103,NL
417,https://openalex.org/A5048149307,Frede Østergaard Andersen,https://api.openalex.org/works?filter=author.id:A5048149307,33,114,DK
418,https://openalex.org/A5080193434,Pantelis P. Analytis,https://api.openalex.org/works?filter=author.id:A5080193434,5,45,DK
419,https://openalex.org/A5059274507,Dorina Diana Verdes,https://api.openalex.org/works?filter=author.id:A5059274507,0,1,DK
420,https://openalex.org/A5054701292,Julian Berger,https://api.openalex.org/works?filter=author.id:A5054701292,8,23,US
421,https://openalex.org/A5091759851,Ralf H. J. M. Kurvers,https://api.openalex.org/works?filter=author.id:A5091759851,29,118,DE
422,https://openalex.org/A5032099222,Elias Najarro,https://api.openalex.org/works?filter=author.id:A5032099222,4,21,DK
423,https://openalex.org/A5088505613,Claire Glanois,https://api.openalex.org/works?filter=author.id:A5088505613,3,14,DK
424,https://openalex.org/A5052905268,Louisa Jane Di Felice,https://api.openalex.org/works?filter=author.id:A5052905268,7,21,FR
425,https://openalex.org/A5065436497,Djordje Grbic,https://api.openalex.org/works?filter=author.id:A5065436497,8,29,CA
426,https://openalex.org/A5058797533,Meysam Alizadeh,https://api.openalex.org/works?filter=author.id:A5058797533,9,34,IR
427,https://openalex.org/A5093895823,Darya Zare,https://api.openalex.org/works?filter=author.id:A5093895823,0,0,
428,https://openalex.org/A5093895824,Mohammadhadi Aliahmadi,https://api.openalex.org/works?filter=author.id:A5093895824,0,0,
429,https://openalex.org/A5013170605,Maël Kubli,https://api.openalex.org/works?filter=author.id:A5013170605,5,14,CH
430,https://openalex.org/A5057252498,Shayan Ebrahimi,https://api.openalex.org/works?filter=author.id:A5057252498,7,25,US
431,https://openalex.org/A5046475081,Fabrizio Gilardi,https://api.openalex.org/works?filter=author.id:A5046475081,25,112,CH
432,https://openalex.org/A5012278873,Li Wang,https://api.openalex.org/works?filter=author.id:A5012278873,207,37892,CN
433,https://openalex.org/A5033716467,Edmond Awad,https://api.openalex.org/works?filter=author.id:A5033716467,11,56,GB
434,https://openalex.org/A5081286391,Gregorio López,https://api.openalex.org/works?filter=author.id:A5081286391,32,243,ES
435,https://openalex.org/A5029849168,Mario Castro,https://api.openalex.org/works?filter=author.id:A5029849168,88,628,US
436,https://openalex.org/A5079162755,Daniel Valdenegro,https://api.openalex.org/works?filter=author.id:A5079162755,10,22,GB
437,https://openalex.org/A5075497327,Charles Rahal,https://api.openalex.org/works?filter=author.id:A5075497327,8,32,GB
438,https://openalex.org/A5073838075,Dylan Connor,https://api.openalex.org/works?filter=author.id:A5073838075,9,49,US
439,https://openalex.org/A5021841588,Thomas Kemeny,https://api.openalex.org/works?filter=author.id:A5021841588,20,89,CA
440,https://openalex.org/A5079154791,Kokil Jaidka,https://api.openalex.org/works?filter=author.id:A5079154791,18,130,SG
441,https://openalex.org/A5028191957,Junsol Kim,https://api.openalex.org/works?filter=author.id:A5028191957,4,14,KR
442,https://openalex.org/A5066089123,Byungkyu Lee,https://api.openalex.org/works?filter=author.id:A5066089123,11,35,US
443,https://openalex.org/A5030796190,Güneş Erkan,https://api.openalex.org/works?filter=author.id:A5030796190,12,17,US
444,https://openalex.org/A5022550400,Christoffer Florczak,https://api.openalex.org/works?filter=author.id:A5022550400,2,12,DK
445,https://openalex.org/A5071988241,Vasanth Sarathy,https://api.openalex.org/works?filter=author.id:A5071988241,6,35,US
446,https://openalex.org/A5012772786,Sonja Schmer-Galunder,https://api.openalex.org/works?filter=author.id:A5012772786,5,31,US
447,https://openalex.org/A5051226686,Dan Thomsen,https://api.openalex.org/works?filter=author.id:A5051226686,7,56,US
448,https://openalex.org/A5078604948,Laurel Bobrow,https://api.openalex.org/works?filter=author.id:A5078604948,5,6,US
449,https://openalex.org/A5008813157,Richard Freedman,https://api.openalex.org/works?filter=author.id:A5008813157,47,235,US
450,https://openalex.org/A5012168451,Marios Constantinides,https://api.openalex.org/works?filter=author.id:A5012168451,9,70,GB
451,https://openalex.org/A5041600397,Zachary Pangan,https://api.openalex.org/works?filter=author.id:A5041600397,0,3,PH
452,https://openalex.org/A5041089475,Eiji Aramaki,https://api.openalex.org/works?filter=author.id:A5041089475,17,206,JP
453,https://openalex.org/A5046718849,Shoko Wakamiya,https://api.openalex.org/works?filter=author.id:A5046718849,15,134,JP
454,https://openalex.org/A5010572901,K. M. Liew,https://api.openalex.org/works?filter=author.id:A5010572901,37,212,JP
455,https://openalex.org/A5005540314,Shuntaro Yada,https://api.openalex.org/works?filter=author.id:A5005540314,8,57,JP
456,https://openalex.org/A5005815315,Wan Jou She,https://api.openalex.org/works?filter=author.id:A5005815315,4,21,US
457,https://openalex.org/A5049802130,Alessandro Gambetti,https://api.openalex.org/works?filter=author.id:A5049802130,1,3,PT
458,https://openalex.org/A5030353409,Qiwei Han,https://api.openalex.org/works?filter=author.id:A5030353409,16,26,CN
459,https://openalex.org/A5033656008,Ingmar Weber,https://api.openalex.org/works?filter=author.id:A5033656008,39,272,DE
460,https://openalex.org/A5018717377,Anne C. Kroon,https://api.openalex.org/works?filter=author.id:A5018717377,8,30,NL
461,https://openalex.org/A5039164628,Satoshi Tohda,https://api.openalex.org/works?filter=author.id:A5039164628,1,1,
462,https://openalex.org/A5054943090,Regina Widjaya,https://api.openalex.org/works?filter=author.id:A5054943090,1,1,
463,https://openalex.org/A5079221037,Stocking Galen,https://api.openalex.org/works?filter=author.id:A5079221037,3,13,US
464,https://openalex.org/A5015211752,Aaron Smith,https://api.openalex.org/works?filter=author.id:A5015211752,37,157,GB
465,https://openalex.org/A5088276589,Amin Mekacher,https://api.openalex.org/works?filter=author.id:A5088276589,3,11,GB
466,https://openalex.org/A5036868218,Bedoor AlShebli,https://api.openalex.org/works?filter=author.id:A5036868218,11,31,AE
467,https://openalex.org/A5040551932,Sylvain Fontaine,https://api.openalex.org/works?filter=author.id:A5040551932,1,10,FR
468,https://openalex.org/A5076281398,Floriana Gargiulo,https://api.openalex.org/works?filter=author.id:A5076281398,14,81,FR
469,https://openalex.org/A5084860941,Michel Dubois,https://api.openalex.org/works?filter=author.id:A5084860941,23,176,FR
470,https://openalex.org/A5065919650,Paola Tubaro,https://api.openalex.org/works?filter=author.id:A5065919650,15,197,FR
471,https://openalex.org/A5021877724,José Miguel Acosta-Córdova,https://api.openalex.org/works?filter=author.id:A5021877724,1,2,US
472,https://openalex.org/A5004566032,Emőke-Ágnes Horvát,https://api.openalex.org/works?filter=author.id:A5004566032,11,57,US
473,https://openalex.org/A5012278873,Li Wang,https://api.openalex.org/works?filter=author.id:A5012278873,207,37892,CN
474,https://openalex.org/A5067953991,Aliakbar Akbaritabar,https://api.openalex.org/works?filter=author.id:A5067953991,7,39,DE
475,https://openalex.org/A5050554579,Andrés F. Castro Torres,https://api.openalex.org/works?filter=author.id:A5050554579,6,55,ES
476,https://openalex.org/A5068542997,Vincent Larivière,https://api.openalex.org/works?filter=author.id:A5068542997,58,501,CA
477,https://openalex.org/A5029483412,Cassidy R. Sugimoto,https://api.openalex.org/works?filter=author.id:A5029483412,43,282,US
478,https://openalex.org/A5075790566,Erin Walk,https://api.openalex.org/works?filter=author.id:A5075790566,1,2,
479,https://openalex.org/A5011588754,Nicholas LaBerge,https://api.openalex.org/works?filter=author.id:A5011588754,3,11,US
480,https://openalex.org/A5017049988,S. Nagy,https://api.openalex.org/works?filter=author.id:A5017049988,15,128,HU
481,https://openalex.org/A5050902528,Indrajeet Patil,https://api.openalex.org/works?filter=author.id:A5050902528,18,85,DE
482,https://openalex.org/A5031982402,Erez Yoeli,https://api.openalex.org/works?filter=author.id:A5031982402,13,45,US
483,https://openalex.org/A5039162249,Elohim Fonseca dos Reis,https://api.openalex.org/works?filter=author.id:A5039162249,3,15,GB
484,https://openalex.org/A5004784121,Alex Teytelboym,https://api.openalex.org/works?filter=author.id:A5004784121,1,4,US
485,https://openalex.org/A5063098095,Abeer ElBahrawy,https://api.openalex.org/works?filter=author.id:A5063098095,6,17,GB
486,https://openalex.org/A5035643179,E. A. Clement,https://api.openalex.org/works?filter=author.id:A5035643179,1,2,
487,https://openalex.org/A5066444267,Alejandro Ortega‐Beltran,https://api.openalex.org/works?filter=author.id:A5066444267,19,76,NG
488,https://openalex.org/A5082860684,Kathyrn R. Fair,https://api.openalex.org/works?filter=author.id:A5082860684,1,5,GB
489,https://openalex.org/A5006404917,Steffen Thiel,https://api.openalex.org/works?filter=author.id:A5006404917,78,451,DK
490,https://openalex.org/A5010925987,Nikolitsa Grigoropoulou,https://api.openalex.org/works?filter=author.id:A5010925987,2,5,DE
491,https://openalex.org/A5089872149,Mario Luis Small,https://api.openalex.org/works?filter=author.id:A5089872149,32,99,US
