,names
1386,akira tsurushima
1387,piyush ghasiya
1388,balaraju battu
1389,renzo bianchi
1390,debora nozza
1391,francesco barbieri
1392,sharon kang
1393,nguyen luong
1394,ian barnett
1395,amirhossein nakhaei
1396,jiani yan
1397,toshiya saito
1398,athina anastasiadou
1399,artem volgin
1400,douglas leasure
1401,mohammad atari
1402,nour kteily
1403,masanori hirano
1404,kiyoshi izumi
1405,veronika batzdorfer
1406,julia huschens
1407,holger steinmetz
1408,laura casanovas buliart
1409,priscila alvarez-cueva
1410,carlos castillo
1411,karmanya aggarwal
1412,baird howland
1413,mareike wieland
1414,gerret von nordheim
1415,katharina kleinen
1416,luiz neves
1417,xuanjun jason gong
1418,likun cao
1419,qiankun zhong
1420,kenjiro inoue
1421,michelangelo rossi
1422,tommaso bondi
1423,ryan louis stevens
1424,samar haider
1425,chris callison-burch
1426,lin ai
1427,yu-wen chen
1428,yuwen yu
1429,seoyoung kweon
1430,julia hirschberg
1431,sarah ita levitan
1432,eladio montero-porras
1433,jelena grujić
1434,navya suri
1435,abdullah zameek
1436,elizaveta chernenko
1437,delphine de moor
1438,jordan hart
1439,camille testard
1440,alex mielke
1441,alba motes rodrigo
1442,dan franks
1443,matthew silk
1444,lauren brent
1445,hikaru asano
1446,osamu sakura
1447,cornelius puschmann
1448,katrin weller
1449,ronald e. robertson
1450,amy dunphy
1451,shelby grossman
1452,shotaro ishihara
1453,hiromu takahashi
1454,hono shirai
1455,roman kyrychenko
1456,darko stojilovic
1457,hal ashton
1458,bertram malle
1459,vanessa cheung
1460,srdja dragovic
1461,johannes ross
1462,vera rocha
1463,tom grad
1464,jörg claussen
1465,lynn smith-lovin
1466,alexandros gelastopoulos
1467,pantelis analytis
1468,gaël le mens
1469,arnout van de rijt
1470,mahnaz roshanaei
1471,sumer vaid
1472,andrea leigh courtney
1473,serena jimyn soh
1474,jamil zaki
1475,gabriella harari
1476,coen d needell
1477,elliot pickens
1478,david m rothschild
1479,anna george
1480,ana valdivia
